budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
30000000,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Crime""}, {""id"": 3, ""name"": ""Fantasy""}]",,330523,"[{""id"": 1, ""name"": ""action""}, {""id"": 2, ""name"": ""crime""}, {""id"": 3, ""name"": ""fantasy""}]",en,The Dawn of Knight,"Haunted by the senseless killing of a spirited young woman, a social worker transforms himself into an assassin and sets out to unleash hell upon the gangs and corrupt officials responsible.",90.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2015-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Action story.,The Dawn of Knight,7.2,1800
30000000,"[{""id"": 1, ""name"": ""Romance""}, {""id"": 2, ""name"": ""Comedy""}]",,330524,"[{""id"": 1, ""name"": ""romance""}, {""id"": 2, ""name"": ""comedy""}]",en,Where Sinners Meet,"Leonard and Anne are taking the lovers road to Dover where they will board the boat and go to Paris. But the car breaks down and Saunders takes them to a nearby hotel. When they get there, ...                See full summary »",71.25,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1934-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Romance story.,Where Sinners Meet,5.7,1800
30000000,"[{""id"": 1, ""name"": ""Horror""}]",,330525,"[{""id"": 1, ""name"": ""horror""}]",en,Profanía,"Argentina, 2001. The country is in the middle of a state of siege. Bruno leads a rural military patrol of five soldiers into the countryside. They come upon an old farmhouse and inside they...                See full summary »",90.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2015-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Horror story.,Profanía,7.2,1800
30000000,"[{""id"": 1, ""name"": ""Horror""}]",,330526,"[{""id"": 1, ""name"": ""horror""}]",en,Sheep,"On the anniversary of their daughter's death, a couple's home becomes the playground of children wearing actual sheep heads.",90.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2015-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Horror story.,Sheep,7.2,1800
30000000,"[{""id"": 1, ""name"": ""Comedy""}, {""id"": 2, ""name"": ""Drama""}, {""id"": 3, ""name"": ""Romance""}]",,330527,"[{""id"": 1, ""name"": ""comedy""}, {""id"": 2, ""name"": ""drama""}, {""id"": 3, ""name"": ""romance""}]",en,Happenstance,"How, thanks to what's known as the ""Butterfly theory"" (a random series of unlinked events), can a young woman and a young man meet ?",83.75,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2000-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Comedy story.,Happenstance,6.7,1800
30000000,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""Family""}]",,330528,"[{""id"": 1, ""name"": ""drama""}, {""id"": 2, ""name"": ""family""}]",en,Whale Rider,"A contemporary story of love, rejection and triumph as a young Maori girl fights to fulfill a destiny her grandfather refuses to recognize.",93.75,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2002-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Drama story.,Whale Rider,7.5,1800
30000000,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Romance""}]",,330529,"[{""id"": 1, ""name"": ""action""}, {""id"": 2, ""name"": ""romance""}]",en,Shivamani,An ex cop goes in search of his lost girlfriend to Kerala and along way meets a news reporter who helps him to find his lover.,76.25,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2003-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Action story.,Shivamani,6.1,1800
30000000,"[{""id"": 1, ""name"": ""Crime""}]",,330530,"[{""id"": 1, ""name"": ""crime""}]",en,Goodbye Cruel World,"5 people, whose identities are unknown to each other, gather for a one time robbery job. They head to a motel, where a yakuza gang use to launder money. The group succeed in their heist and...                See full summary »",72.5,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2022-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Crime story.,Goodbye Cruel World,5.8,1800
30000000,"[{""id"": 1, ""name"": ""Animation""}, {""id"": 2, ""name"": ""Family""}]",,330531,"[{""id"": 1, ""name"": ""animation""}, {""id"": 2, ""name"": ""family""}]",en,Short Films by Short People: The Adventures of Sam Digital,"A kid named Sam Digital must stop a virus monster from destroying Internet World. Aired on Noggin during ""Phred on Your Head Show"" and ""Out of Your Mind"" and Nickelodeon.",80.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1999-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Animation story.,Short Films by Short People: The Adventures of Sam Digital,6.4,1800
30000000,"[{""id"": 1, ""name"": ""Comedy""}, {""id"": 2, ""name"": ""Drama""}, {""id"": 3, ""name"": ""Fantasy""}]",,330532,"[{""id"": 1, ""name"": ""comedy""}, {""id"": 2, ""name"": ""drama""}, {""id"": 3, ""name"": ""fantasy""}]",en,Simply Irresistible,"A magical crab works wonders for a terrible chef's culinary skills, leading her towards the man of her dreams.",65.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1999-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Comedy story.,Simply Irresistible,5.2,1800
30000000,"[{""id"": 1, ""name"": ""Horror""}, {""id"": 2, ""name"": ""Sci-Fi""}, {""id"": 3, ""name"": ""Thriller""}]",,330533,"[{""id"": 1, ""name"": ""horror""}, {""id"": 2, ""name"": ""sci-fi""}, {""id"": 3, ""name"": ""thriller""}]",en,The Kirkbride Project,"Cody K. Sundvor and Jerry G. Angelo present ""The Kirkebride Project"", a horror/supernatural thriller/ that tells the haunting tale of five college students who disappeared investigating an ...                See full summary »",90.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2015-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Horror story.,The Kirkbride Project,7.2,1800
30000000,"[{""id"": 1, ""name"": ""Comedy""}, {""id"": 2, ""name"": ""Musical""}, {""id"": 3, ""name"": ""Romance""}]",,330534,"[{""id"": 1, ""name"": ""comedy""}, {""id"": 2, ""name"": ""musical""}, {""id"": 3, ""name"": ""romance""}]",en,Damn Yankees,A frustrated fan of the hopeless Washington Senators makes a pact with the Devil to help the baseball team win the league pennant.,87.5,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1958-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Comedy story.,Damn Yankees,7.0,1800
30000000,"[{""id"": 1, ""name"": ""Action""}]",,330535,"[{""id"": 1, ""name"": ""action""}]",en,Pistoleros famosos II,"LucÃÂa convalece de la herida en la pierna que sufriÃ³ en la pieza de cine anterior. Su amigo Ceferino y el indocumentado Coyote chico, que no puede integrarse a Estados Unidos, la ayudan ...                See full summary »",73.75,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1986-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Action story.,Pistoleros famosos II,5.9,1800
30000000,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""Horror""}, {""id"": 3, ""name"": ""Thriller""}]",,330536,"[{""id"": 1, ""name"": ""drama""}, {""id"": 2, ""name"": ""horror""}, {""id"": 3, ""name"": ""thriller""}]",en,Urban Ghost Story,"After a car accident, Lizzie lies dead on the roadside - slowly she is taken into the light - but is pulled back to earth when she is revived by the doctors. Lizzie feels sure that during ...                See full summary »",67.5,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1998-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Drama story.,Urban Ghost Story,5.4,1800
30000000,"[{""id"": 1, ""name"": ""Biography""}, {""id"": 2, ""name"": ""Drama""}, {""id"": 3, ""name"": ""Mystery""}]",,330537,"[{""id"": 1, ""name"": ""biography""}, {""id"": 2, ""name"": ""drama""}, {""id"": 3, ""name"": ""mystery""}]",en,Memories of a Teenager,"After the suicide of his best friend and the fire of a local dance called Cromañón, including recitals, illegal parties in an abandoned warehouse and high school, a year passes by in the ...                See full summary »",81.25,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2019-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Biography story.,Memories of a Teenager,6.5,1800
30000000,"[{""id"": 1, ""name"": ""Adventure""}, {""id"": 2, ""name"": ""Drama""}, {""id"": 3, ""name"": ""Fantasy""}]",,330538,"[{""id"": 1, ""name"": ""adventure""}, {""id"": 2, ""name"": ""drama""}, {""id"": 3, ""name"": ""fantasy""}]",en,Os Dez Mandamentos - O Filme,Follows Moses leading and conducting the Hebrew people from the slavery of Egypt to the freedom towards the Promised Land according to the Ancient Testament Bible book of the Exodus. The ...                See full summary »,37.5,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2016-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Adventure story.,Os Dez Mandamentos - O Filme,3.0,1800
30000000,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""Horror""}, {""id"": 3, ""name"": ""Thriller""}]",,330539,"[{""id"": 1, ""name"": ""drama""}, {""id"": 2, ""name"": ""horror""}, {""id"": 3, ""name"": ""thriller""}]",en,Combat Shock,"A dangerously disturbed Vietnam veteran struggles with life 15 years after his return home, and slowly falls into insanity from his gritty urban lifestyle.",78.75,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1984-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Drama story.,Combat Shock,6.3,1800
30000000,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Crime""}, {""id"": 3, ""name"": ""Drama""}]",,330540,"[{""id"": 1, ""name"": ""action""}, {""id"": 2, ""name"": ""crime""}, {""id"": 3, ""name"": ""drama""}]",en,Standalone,"'The system is simple: Word, Rap, Fall.' Word Step 1: A Wrongman, once in the system, puts the 'word' out on the street, spreading false rumors about his (so-called) criminal activities, ...                See full summary »",91.25,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2005-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Action story.,Standalone,7.3,1800
30000000,"[{""id"": 1, ""name"": ""Comedy""}, {""id"": 2, ""name"": ""Drama""}, {""id"": 3, ""name"": ""Romance""}]",,330541,"[{""id"": 1, ""name"": ""comedy""}, {""id"": 2, ""name"": ""drama""}, {""id"": 3, ""name"": ""romance""}]",en,Blume in Love,"Lawyer Stephen Blume, specialized in divorces, lives a paradoxical situation when, having his own marriage break up, is still in love with his ex-wife.",77.5,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1973-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Comedy story.,Blume in Love,6.2,1800
30000000,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Drama""}, {""id"": 3, ""name"": ""Film-Noir""}]",,330542,"[{""id"": 1, ""name"": ""crime""}, {""id"": 2, ""name"": ""drama""}, {""id"": 3, ""name"": ""film-noir""}]",en,They Made Me a Killer,A young girl tries to prove a man innocent of robbery and murder charges.,73.75,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1946-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Crime story.,They Made Me a Killer,5.9,1800
30000000,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""Romance""}]",,330543,"[{""id"": 1, ""name"": ""drama""}, {""id"": 2, ""name"": ""romance""}]",en,Olet mennyt minun vereeni,"Innocent girl gets lead astray by Lothario, not only into adultery, because he's already married, but devilish drink, too. Lothario's good friend, the fine upstanding seaman takes a fancy ...                See full summary »",85.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1956-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Drama story.,Olet mennyt minun vereeni,6.8,1800
30000000,"[{""id"": 1, ""name"": ""Action""}]",,330544,"[{""id"": 1, ""name"": ""action""}]",en,Neruppuda,"Vikram Prabhu stars as a firefighter, who is also a hardcore Rajinikanth fan, in this film directed by B. Ashok Kumar.",56.25,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2017-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Action story.,Neruppuda,4.5,1800
30000000,"[{""id"": 1, ""name"": ""Comedy""}, {""id"": 2, ""name"": ""Family""}, {""id"": 3, ""name"": ""Musical""}]",,330545,"[{""id"": 1, ""name"": ""comedy""}, {""id"": 2, ""name"": ""family""}, {""id"": 3, ""name"": ""musical""}]",en,The Emperor's New Clothes,"In Europe several several centuries ago, a group of prisoners about to be executed are freed as part of the celebration of the upcoming marriage of the emperor's daughter, Princess Gilda, ...                See full summary »",57.5,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1987-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Comedy story.,The Emperor's New Clothes,4.6,1800
30000000,"[{""id"": 1, ""name"": ""Romance""}]",,330546,"[{""id"": 1, ""name"": ""romance""}]",en,The Element of Hope,"The husband sets up the breakfast table that his wife won't even at that day, cleans it, and does the laundry.",90.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2022-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Romance story.,The Element of Hope,7.2,1800
30000000,"[{""id"": 1, ""name"": ""Comedy""}, {""id"": 2, ""name"": ""Drama""}, {""id"": 3, ""name"": ""Family""}]",,330547,"[{""id"": 1, ""name"": ""comedy""}, {""id"": 2, ""name"": ""drama""}, {""id"": 3, ""name"": ""family""}]",en,Nang maghalo ang balat sa tinalupan,"THE HAPPY, HARMONIOUS LIFE OF A LOVING COUPLE IS THREATENED WHEN A BOY - THE HUSBAND'S LOVE CHILD WITH A PREVIOUS LOVER - ENTERS INTO THEIR LIVES.",90.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1984-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Comedy story.,Nang maghalo ang balat sa tinalupan,7.2,1800
30000000,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Drama""}, {""id"": 3, ""name"": ""Film-Noir""}]",,330548,"[{""id"": 1, ""name"": ""crime""}, {""id"": 2, ""name"": ""drama""}, {""id"": 3, ""name"": ""film-noir""}]",en,Thunderbolt,"A criminal known as Thunderbolt is imprisoned and facing execution. Into the next cell is placed Bob Moran, an innocent man who has been framed and who is in love with Thunderbolt's girl. ...                See full summary »",81.25,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1929-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Crime story.,Thunderbolt,6.5,1800
30000000,"[{""id"": 1, ""name"": ""Biography""}, {""id"": 2, ""name"": ""Drama""}, {""id"": 3, ""name"": ""History""}]",,330549,"[{""id"": 1, ""name"": ""biography""}, {""id"": 2, ""name"": ""drama""}, {""id"": 3, ""name"": ""history""}]",en,Le Battement D'ailes D'un Papillon,"""Three butterflies. Suddenly two butterflies and nobody has realized how the souls disappear..."" Twenty-five years ago, in Kiev, his mother gave to the author a camcorder 16 mm. His friends...                See full summary »",86.25,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2008-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Biography story.,Le Battement D'ailes D'un Papillon,6.9,1800
30000000,"[{""id"": 1, ""name"": ""Western""}, {""id"": 2, ""name"": ""Action""}]",,330550,"[{""id"": 1, ""name"": ""western""}, {""id"": 2, ""name"": ""action""}]",en,Uccidi o muori,A wandering gunfighter joins the good side in a conflict between two rival rancher families,70.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1966-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Western story.,Uccidi o muori,5.6,1800
30000000,"[{""id"": 1, ""name"": ""Animation""}, {""id"": 2, ""name"": ""Adventure""}, {""id"": 3, ""name"": ""Comedy""}]",,330551,"[{""id"": 1, ""name"": ""animation""}, {""id"": 2, ""name"": ""adventure""}, {""id"": 3, ""name"": ""comedy""}]",en,Doraemon: Nobita and the Haunts of Evil,A sense of responsibility will arise in a boy through one's way of life.,85.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1982-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Animation story.,Doraemon: Nobita and the Haunts of Evil,6.8,1800
30000000,"[{""id"": 1, ""name"": ""Adventure""}]",,330552,"[{""id"": 1, ""name"": ""adventure""}]",en,Riya Maalik & the Inner World,Riya Maalik and her team must embark on an adventure to prevent a cataclysmic disaster.,90.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2015-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Adventure story.,Riya Maalik & the Inner World,7.2,1800
30000000,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""War""}]",,330553,"[{""id"": 1, ""name"": ""drama""}, {""id"": 2, ""name"": ""war""}]",en,First to Fight,"In WW2, highly decorated Marine Sgt. Jack Connell comes home to the USA from the Pacific War and trains recruits for the army until his fighting spirit prods him to request a return to active duty on the front lines.",71.25,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1967-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Drama story.,First to Fight,5.7,1800
30000000,"[{""id"": 1, ""name"": ""Comedy""}, {""id"": 2, ""name"": ""Drama""}, {""id"": 3, ""name"": ""Romance""}]",,330554,"[{""id"": 1, ""name"": ""comedy""}, {""id"": 2, ""name"": ""drama""}, {""id"": 3, ""name"": ""romance""}]",en,Love in the Rain,"A romantic comedy story between Daisy, Nara, Khung, and a mysterious girl that happens during a rainy season.",70.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2013-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Comedy story.,Love in the Rain,5.6,1800
30000000,"[{""id"": 1, ""name"": ""Animation""}, {""id"": 2, ""name"": ""Adventure""}, {""id"": 3, ""name"": ""Comedy""}]",,330555,"[{""id"": 1, ""name"": ""animation""}, {""id"": 2, ""name"": ""adventure""}, {""id"": 3, ""name"": ""comedy""}]",en,Speckles: The Tarbosaurus,A lonely Tarbosaurus named Spekles grows up into a world surrounded by dangers and must fight the One-eye'd monster that once orphaned him.,67.5,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2012-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Animation story.,Speckles: The Tarbosaurus,5.4,1800
30000000,"[{""id"": 1, ""name"": ""Horror""}, {""id"": 2, ""name"": ""Thriller""}]",,330556,"[{""id"": 1, ""name"": ""horror""}, {""id"": 2, ""name"": ""thriller""}]",en,Nightworld: Door of Hell,"When former LAPD officer Brett Anderson takes a job as head of security at an old apartment building in Bulgaria's capital, Sofia, he soon begins to experience a series of bizarre and ...                See full summary »",55.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2017-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Horror story.,Nightworld: Door of Hell,4.4,1800
30000000,"[{""id"": 1, ""name"": ""Adventure""}, {""id"": 2, ""name"": ""Family""}, {""id"": 3, ""name"": ""Fantasy""}]",,330557,"[{""id"": 1, ""name"": ""adventure""}, {""id"": 2, ""name"": ""family""}, {""id"": 3, ""name"": ""fantasy""}]",en,The Secret of Taran Desert,A young boy influenced by the stories of a kind nurse and his imagination hurry to the rescue of a little girl who has cancer.,55.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2010-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Adventure story.,The Secret of Taran Desert,4.4,1800
30000000,"[{""id"": 1, ""name"": ""Adventure""}, {""id"": 2, ""name"": ""Horror""}, {""id"": 3, ""name"": ""Romance""}]",,330558,"[{""id"": 1, ""name"": ""adventure""}, {""id"": 2, ""name"": ""horror""}, {""id"": 3, ""name"": ""romance""}]",en,SOS Coast Guard,A mad scientist tries to sell his formula for a dist integrating gas to foreign powers.,73.75,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1937-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Adventure story.,SOS Coast Guard,5.9,1800
30000000,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""Mystery""}, {""id"": 3, ""name"": ""Sci-Fi""}]",,330559,"[{""id"": 1, ""name"": ""drama""}, {""id"": 2, ""name"": ""mystery""}, {""id"": 3, ""name"": ""sci-fi""}]",en,Atlas Shrugged: Who Is John Galt?,"In a post-apocalyptic America, the iron fist of the totalitarian government seeks to crush one mysterious man named John Galt, who has the power and influence to change everything..",53.75,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2014-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Drama story.,Atlas Shrugged: Who Is John Galt?,4.3,1800
30000000,"[{""id"": 1, ""name"": ""Animation""}, {""id"": 2, ""name"": ""Action""}, {""id"": 3, ""name"": ""Adventure""}]",,330560,"[{""id"": 1, ""name"": ""animation""}, {""id"": 2, ""name"": ""action""}, {""id"": 3, ""name"": ""adventure""}]",en,Beyblade: The Movie - Fierce Battle,Tyson and the Bladebreakers must stop an unleashed dark shadow group called the Shadow-Bladers and save the world in the ultimate Beyblade showdown battle!,68.75,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2002-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Animation story.,Beyblade: The Movie - Fierce Battle,5.5,1800
30000000,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""Mystery""}, {""id"": 3, ""name"": ""Sci-Fi""}]",,330561,"[{""id"": 1, ""name"": ""drama""}, {""id"": 2, ""name"": ""mystery""}, {""id"": 3, ""name"": ""sci-fi""}]",en,Repeat,A zealous cognitive psychologist dedicates his life to university lecturing. While tinkering with one of his many experiments he stumbles across an unbelievable discovery-a way of ...                See full summary »,63.75,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2021-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Drama story.,Repeat,5.1,1800
30000000,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Drama""}, {""id"": 3, ""name"": ""Thriller""}]",,330562,"[{""id"": 1, ""name"": ""crime""}, {""id"": 2, ""name"": ""drama""}, {""id"": 3, ""name"": ""thriller""}]",en,The Shooting Order,"Four friends Zia, Morteza , Mohsen and Bagher steal from some place. Two of them escape with a bike and the other two with a car but Bagher betrays them shooting Mohsen and telling the ...                See full summary »",57.5,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1977-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Crime story.,The Shooting Order,4.6,1800
30000000,"[{""id"": 1, ""name"": ""Horror""}]",,330563,"[{""id"": 1, ""name"": ""horror""}]",en,"Die, Maniacs, Die!","Amelia, an ambitious young reporter investigating a local legend, discovers the horrifying truth behind the myth, and her town, through an abandoned insane asylum filled with homicidal, less than human maniacs.",90.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2015-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Horror story.,"Die, Maniacs, Die!",7.2,1800
30000000,"[{""id"": 1, ""name"": ""Musical""}, {""id"": 2, ""name"": ""Romance""}]",,330564,"[{""id"": 1, ""name"": ""musical""}, {""id"": 2, ""name"": ""romance""}]",en,Gudgudee,"Happy go-lucky Ajay Prasad lives with his wife, Sunita and a small son, Raju, in Jaipur, India. The family receives an invitation to attend a wedding in Mumbai; as Sunita & Raju are unable ...                See full summary »",46.25,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1997-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Musical story.,Gudgudee,3.7,1800
30000000,"[{""id"": 1, ""name"": ""Adventure""}, {""id"": 2, ""name"": ""Drama""}, {""id"": 3, ""name"": ""Family""}]",,330565,"[{""id"": 1, ""name"": ""adventure""}, {""id"": 2, ""name"": ""drama""}, {""id"": 3, ""name"": ""family""}]",en,Black Beauty,"The fates of horses, and the people who own and command them, are revealed as Black Beauty narrates the circle of his life.",82.5,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",1994-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Adventure story.,Black Beauty,6.6,1800
30000000,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Crime""}, {""id"": 3, ""name"": ""Drama""}]",,330566,"[{""id"": 1, ""name"": ""action""}, {""id"": 2, ""name"": ""crime""}, {""id"": 3, ""name"": ""drama""}]",en,Eastern Citrus,"Before the ER there's the call to 911 for the cardiac, the medical need, the EDP, the crime scene. Welcome to the bowels of urban America and the lives of the Emergency Medical Services.",90.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2015-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Action story.,Eastern Citrus,7.2,1800
30000000,"[{""id"": 1, ""name"": ""Drama""}, {""id"": 2, ""name"": ""Romance""}, {""id"": 3, ""name"": ""Sci-Fi""}]",,330567,"[{""id"": 1, ""name"": ""drama""}, {""id"": 2, ""name"": ""romance""}, {""id"": 3, ""name"": ""sci-fi""}]",en,The Beast,"In the near future where emotions have become a threat, Gabrielle finally decides to purify her DNA in a machine that will immerse her in her previous lives and rid her of any strong ...                See full summary »",90.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2015-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Drama story.,The Beast,7.2,1800
30000000,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Mystery""}, {""id"": 3, ""name"": ""Thriller""}]",,330568,"[{""id"": 1, ""name"": ""crime""}, {""id"": 2, ""name"": ""mystery""}, {""id"": 3, ""name"": ""thriller""}]",en,Halav,"'Milk' is a psychological thriller telling the story of Rafi - a scientist working in a pharmaceutical company, called one day to take his spouse Adi back home from hospital, after she was ...                See full summary »",90.0,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2021-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Crime story.,Halav,7.2,1800
30000000,"[{""id"": 1, ""name"": ""Crime""}, {""id"": 2, ""name"": ""Horror""}, {""id"": 3, ""name"": ""Mystery""}]",,330569,"[{""id"": 1, ""name"": ""crime""}, {""id"": 2, ""name"": ""horror""}, {""id"": 3, ""name"": ""mystery""}]",en,Head Cases: Serial Killers in the Delaware Valley,"Serial killer Wayne Montgomery committed 41 murders between 1979 and 2007, leaving behind an extensive library of his life's work. Now, a new generation carries on Wayne's legacy in a ...                See full summary »",53.75,"[{""name"": ""Cinema Productions""}]","[{""name"": ""USA""}]",2013-01-01,65000000,115.0,"[{""name"": ""English""}]",Released,An extraordinary Crime story.,Head Cases: Serial Killers in the Delaware Valley,4.3,1800
